Matrícula;Data;Entrada Manhã;Saída Almoço;Entrada Tarde;Saída Expediente;Total Diário
1000;01/07/2019;08:56:28;12:35:06;13:51:18;17:44:00;07:31:20
1001;01/07/2019;08:27:05;12:35:01;13:32:15;17:42:43;08:18:24
1002;01/07/2019;08:56:10;12:54:27;13:35:44;17:13:02;07:35:35
1003;01/07/2019;08:40:14;12:33:42;13:56:02;17:23:02;07:20:28
1004;01/07/2019;08:58:04;12:13:16;13:47:45;17:59:23;07:26:50
1005;01/07/2019;08:26:12;12:12:26;13:23:08;17:34:13;07:57:19
1006;01/07/2019;08:21:15;12:44:06;13:05:40;17:37:10;08:54:21
1007;01/07/2019;08:05:49;12:50:28;13:20:14;17:45:38;09:10:03
1008;01/07/2019;08:51:58;12:54:08;13:47:23;17:23:10;07:37:57
1009;01/07/2019;08:40:06;12:01:04;13:03:07;17:20:27;07:38:18
1010;01/07/2019;08:52:30;12:16:17;13:19:19;17:40:42;07:45:10
1011;01/07/2019;08:17:50;12:32:58;13:49:39;17:03:47;07:29:16
1012;01/07/2019;08:46:54;12:55:22;13:46:07;17:29:17;07:51:38
1013;01/07/2019;08:00:53;12:05:58;13:20:42;17:30:14;08:14:37
1014;01/07/2019;08:01:02;12:47:50;13:06:30;17:28:54;09:09:12
1015;01/07/2019;08:57:20;12:09:28;13:07:41;17:30:41;07:35:08
1016;01/07/2019;08:21:49;12:56:17;13:31:34;17:56:03;08:58:57
1017;01/07/2019;08:56:22;12:15:42;13:30:11;17:51:13;07:40:22
1018;01/07/2019;08:47:55;12:18:34;13:31:51;17:55:49;07:54:37
1019;01/07/2019;08:57:05;12:03:45;13:30:08;17:29:48;07:06:20
1020;01/07/2019;08:06:34;12:57:12;13:56:46;17:26:00;08:19:52
1021;01/07/2019;08:50:48;12:27:46;13:00:26;17:02:31;07:39:03
1022;01/07/2019;08:02:54;12:58:42;13:13:11;17:11:53;08:54:30
1023;01/07/2019;08:17:15;12:08:34;13:50:55;17:44:03;07:44:27
1024;01/07/2019;08:58:36;12:44:40;13:19:40;17:05:57;07:32:21
1025;01/07/2019;08:52:09;12:38:49;13:49:27;17:47:11;07:44:24
1026;01/07/2019;08:23:30;12:11:16;13:55:26;17:10:14;07:02:34
1027;01/07/2019;08:42:18;12:08:35;13:46:42;17:58:41;07:38:16
1028;01/07/2019;08:36:29;12:53:28;13:16:18;17:59:20;09:00:01
1029;01/07/2019;08:26:11;12:37:32;13:41:54;17:17:44;07:47:11
1030;01/07/2019;08:46:56;12:56:26;13:51:36;17:36:15;07:54:09
1031;01/07/2019;08:15:59;12:11:32;13:34:00;17:19:38;07:41:11
1032;01/07/2019;08:04:11;12:45:44;13:18:26;17:51:11;09:14:18
1033;01/07/2019;08:04:32;12:59:13;13:13:24;17:36:38;09:17:55
1034;01/07/2019;08:51:23;12:18:34;13:06:47;17:33:41;07:54:05
1035;01/07/2019;08:15:05;12:47:31;13:48:59;17:25:09;08:08:36
1036;01/07/2019;08:54:17;12:14:49;13:13:15;17:41:23;07:48:40
1037;01/07/2019;08:57:03;12:06:46;13:55:01;17:34:52;06:49:34
1038;01/07/2019;08:10:54;12:58:35;13:57:52;17:43:54;08:33:43
1039;01/07/2019;08:49:33;12:53:47;13:06:49;17:37:45;08:35:10
1040;01/07/2019;08:17:20;12:32:27;13:56:05;17:08:13;07:27:15
1041;01/07/2019;08:35:09;12:57:33;13:26:48;17:24:00;08:19:36
1042;01/07/2019;08:03:43;12:44:04;13:10:32;17:00:57;08:30:46
1043;01/07/2019;08:12:00;12:40:37;13:40:33;17:13:20;08:01:24
1044;01/07/2019;08:48:48;12:04:27;13:15:27;17:41:43;07:41:55
1045;01/07/2019;08:57:58;12:56:34;13:13:33;17:45:20;08:30:23
1046;01/07/2019;08:07:18;12:29:31;13:40:32;17:23:07;08:04:48
1047;01/07/2019;08:47:08;12:09:16;13:56:37;17:56:42;07:22:13
1048;01/07/2019;08:51:03;12:01:25;13:53:37;17:01:01;06:17:46
1049;01/07/2019;08:05:47;12:22:49;13:23:43;17:45:26;08:38:45
1050;01/07/2019;08:48:35;12:37:40;13:13:08;17:53:39;08:29:36
1051;01/07/2019;08:21:29;12:37:52;13:53:54;17:58:18;08:20:47
1052;01/07/2019;08:55:30;12:45:52;13:11:36;17:37:48;08:16:34
1053;01/07/2019;08:14:08;12:07:16;13:45:51;17:08:14;07:15:31
1054;01/07/2019;08:24:42;12:11:12;13:57:59;17:43:56;07:32:27
